routenum,ord,stationid,arsid,arsid2
100,66,신용산초등학교,3219,03219
100,67,이촌동한가람아파트.이촌역,3217,03217
100,68,이촌동두산위브트레지움.한강대우아파트,3215,03215
100,69,한강대교북단,3001,03001
100,70,신용산역,3003,03003
100,71,KT용산지사,3005,03005
100,72,삼각지역,3007,03007
100,73,숙대입구역,3009,03009
100,74,갈월동,3011,03011
100,75,서울역버스환승센터,2007,02007
100,76,남대문시장.신한은행,2219,02219
100,77,롯데영프라자,2142,02142
100,78,을지로입구(외환은행본점),2156,02156
100,79,을지로2가,2159,02159
100,80,을지로3가,2161,02161
100,81,을지로4가,2163,02163
100,82,을지로5가.중부시장,2166,02166
100,83,을지로6가.국립중앙의료원,2169,02169
100,84,광희동,2170,02170
100,85,퇴계로6가,2206,02206
100,86,을지로5가,2168,02168
100,87,방산시장,2167,02167
100,88,종로5가,1212,01212
100,89,종로5가.효제초등학교,1205,01205
100,90,종로5가.효제동,1204,01204
100,91,통신대(이화장),1219,01219
100,92,혜화역.마로니에공원,1220,01220
100,93,혜화역.동성중고(장면총리가옥),1229,01229
100,94,삼선교.한성대학교,8010,08010
100,95,돈암사거리.성신여대입구,8008,08008
100,96,미아리고개(아리랑아트홀),8006,08006
100,97,길음뉴타운,8004,08004
100,98,월곡뉴타운,8002,08002
100,99,숭곡초교입구,8101,08101
100,100,창문여고,8102,08102
100,101,동방주유소앞,8103,08103
100,102,장위동그린빌아파트,8104,08104
100,103,북서울꿈의숲,8105,08105
100,104,장월초등학교,8106,08106
100,105,롯데캐슬루나아파트,11337,011337
100,106,인덕대앞,11338,011338
100,107,월계헬스케어센터,11340,011340
100,108,하계시영아파트,11453,011453
100,109,하계장미아파트,11455,011455
100,110,하계미성아파트.을지병원,11425,011425
100,111,한성여객종점,11429,011429
100,112,세이브존스포츠센터,11435,011435
100,113,노원경찰서.혜성여고,11437,011437
100,114,하계현대아파트,11442,011442
100,115,노원구민체육센터,11358,011358
100,116,상명초등학교,11377,011377
100,117,중계건영2차아파트,11375,011375
100,118,중계역,11366,011366
100,119,하계한신청구아파트,11444,011444
101,1,우이동도선사입구,9102,09102
101,2,우이동성원아파트,9103,09103
101,3,쌍문동청한빌라,10200,010200
101,4,쌍문동우이빌라,10202,010202
101,5,초당초등학교,10204,010204
101,6,방학동우성아파트,10206,010206
101,7,쌍문동성원아파트,10210,010210
101,8,쌍문동한양.현대아파트,10212,010212
101,9,쌍문동삼익금호1차아파트,10214,010214
101,10,도봉구보건소앞,10216,010216
101,11,도봉구민회관,10013,010013
101,12,쌍문역,10015,010015
101,13,우이1교앞,10017,010017
101,14,수유3동우체국,9001,09001
101,15,강북구청입구,9013,09013
101,16,수유역,9003,09003
101,17,수유시장.성신여대미아캠퍼스앞,9005,09005
101,18,미아역.신일중고,9007,09007
101,19,도봉세무서.성북시장,9009,09009
101,20,미아삼거리역,9011,09011
101,21,성가복지병원,8148,08148
101,22,종암경찰서,8150,08150
101,23,종암동주민센터,8152,08152
101,24,숭례초교,8154,08154
101,25,고대앞,8156,08156
101,26,우신향병원,8157,08157
101,27,안암오거리,8158,08158
101,28,대광초교,8159,08159
101,29,신설동로타리,1243,01243
101,30,동묘앞,1044,01044
101,31,동대문(흥인지문),1037,01037
101,32,종로6가,1208,01208
101,33,종로5가,1206,01206
101,34,종로4가,1196,01196
101,35,종로3가,1194,01194
101,36,종로2가,1193,01193
101,37,종로1가,1190,01190
101,38,광화문,1125,01125
101,39,서울역사박물관(경교장),1123,01123
101,40,서대문역사거리.적십자병원,1169,01169
101,41,서대문경찰서,13252,013252
101,42,서소문,2133,02133
101,43,서울신문사,2137,02137
101,44,종로1가,1188,01188
101,45,종로2가,1187,01187
101,46,종로3가역15번출구,1182,01182
101,47,종로4가.종묘,1180,01180
101,48,종로5가.광장시장,1178,01178
101,49,종로6가.종로신진시장,1216,01216
101,50,동대문,1233,01233
101,51,동묘앞,1041,01041
101,52,대광고등학교앞,6178,06178
101,53,안암오거리,6177,06177
101,54,우신향병원,6176,06176
101,55,고려대학교앞,6175,06175
101,56,숭례초등학교,8155,08155
101,57,종암동주민센터,8153,08153
101,58,종암경찰서,8151,08151
101,59,성가복지병원,8149,08149
101,60,미아삼거리역,9012,09012
101,61,도봉세무서.성북시장,9010,09010
101,62,미아역.신일중고,9008,09008
101,63,수유시장.성신여대미아캠퍼스앞,9006,09006
101,64,수유역.강북구청,9004,09004
101,65,수유3동우체국,9002,09002
101,66,우이1교앞,10127,010127
101,67,쌍문역,10126,010126
101,68,정의여중고앞,10119,010119
101,69,구민회관,10121,010121
101,70,도봉구보건소앞,10217,010217
101,71,쌍문동금호1차삼익아파트,10215,010215
101,72,쌍문동현대.한양아파트,10213,010213
101,73,쌍문동성원아파트,10211,010211
101,74,방학동우성아파트,10207,010207
101,75,초당초등학교,10205,010205
101,76,쌍문동우이빌라,10203,010203
101,77,쌍문동청한빌라,10201,010201
101,78,동아운수앞,10325,010325
101,79,우이동성원아파트,9104,09104
101,80,우이동도선사입구,9296,09296
1014,1,성북생태체험관,8258,08258
1014,2,정릉초교,8259,08259
1014,3,정릉동풍림상가앞,8260,08260
1014,4,정릉동풍림아파트,8262,08262
1014,5,외환은행정릉지점,8165,08165
1014,6,정릉시장입구,8167,08167
1014,7,정릉우체국앞,8169,08169
1014,8,정릉입구,8263,08263
1014,9,아리랑고개.아리랑시네미디어센터,8265,08265
1014,10,돈암2동주민센터입구.흥천사,8267,08267
1014,11,성신여대입구,8269,08269
1014,12,돈암시장입구,8305,08305
1014,13,성북구청.성북경찰서,8177,08177
1014,14,보문역,8179,08179
1014,15,브라운호텔,8181,08181
1014,16,보문동주민센터,8183,08183
1014,17,신설동로타리,1243,01243
1014,18,동묘앞,1245,01245
1014,19,종로구민회관숭인동,1240,01240
1014,20,숭인1동주민센터,1239,01239
1014,21,보문역,8326,08326
1014,22,성북구청.성북경찰서,8178,08178
1014,23,돈암시장입구,8306,08306
1014,24,성신여대입구,8270,08270
1014,25,돈암2동주민센터입구.흥천사,8268,08268
1014,26,아리랑고개.아리랑시네미디어센터,8266,08266
1014,27,정릉입구,8264,08264
1014,28,정릉우체국앞,8170,08170
1014,29,정릉시장입구,8168,08168
1014,30,외환은행정릉지점,8166,08166
1014,31,정릉대림아파트,8338,08338
1014,32,정릉동풍림상가앞,8261,08261
1014,33,정릉초교,8350,08350
1014,34,성북생태체험관,8349,08349
1017,1,인덕삼거리,11331,011331
1017,2,신도브래뉴.한전노원변전소,11332,011332
1017,3,월계삼거리,11336,011336
1017,4,광운대학교,11335,011335
1017,5,광운전자공업고등학교,11334,011334
1017,6,벼루말교,11465,011465
1017,7,광운초교앞,8218,08218
1017,8,국민은행장위1동지점,8220,08220
1017,9,장위1동새마을금고,8222,08222
1017,10,장곡초교,8293,08293
1017,11,국민은행장위동지점,8282,08282
1017,12,장위1동파출소,8280,08280
1017,13,장위1동주민센터,8278,08278
1017,14,장위동고개,8276,08276
1017,15,월곡1동주민센터,8283,08283
1017,16,밤나무골시장,8285,08285
1017,17,월곡동두산아파트,8287,08287
1017,18,생명의전화,8289,08289
1017,19,KT월곡지사,8129,08129
1017,20,종암경찰서,8150,08150
1017,21,종암동주민센터,8152,08152
1017,22,숭례초교,8154,08154
1017,23,고대앞,8156,08156
1017,24,우신향병원,8157,08157
1017,25,종암초등학교앞,6179,06179
1017,26,용두시장앞,6181,06181
1017,27,서울시동부병원,6182,06182
1017,28,동아제약앞,6184,06184
1017,29,청계벽산아파트앞,4107,04107
1017,30,상왕십리역,4114,04114
1017,31,상왕십리역,4102,04102
1017,32,도로교통공단앞,4103,04103
1017,33,왕십리교회,4104,04104
1017,34,왕십리1동새마을금고,4108,04108
1017,35,꽃재교회,4252,04252
1017,36,청계벽산아파트앞,4106,04106
1017,37,동아제약앞,6185,06185
1017,38,서울시동부병원,6183,06183
1017,39,용두시장앞,6180,06180
1017,40,안암오거리,6177,06177
1017,41,우신향병원,6176,06176
1017,42,고려대학교앞,6175,06175
1017,43,숭례초등학교,8155,08155
1017,44,종암동주민센터,8153,08153
1017,45,종암경찰서,8151,08151
1017,46,KT월곡지사,8128,08128
1017,47,종암SK아파트,8130,08130
1017,48,성북구보건소,8131,08131
1017,49,생명의전화,8290,08290
1017,50,월곡동두산아파트,8288,08288
1017,51,월곡삼성래미안아파트,8286,08286
1017,52,월곡1동주민센터,8284,08284
1017,53,창문여고,8102,08102
1017,54,장위동고개,8275,08275
1017,55,장위1동주민센터,8277,08277
1017,56,장위1동파출소,8279,08279
1017,57,국민은행장위동지점,8281,08281
1017,58,장곡초교,8294,08294
1017,59,장위1동새마을금고,8221,08221
1017,60,국민은행장위1동지점,8219,08219
1017,61,광운초교,8217,08217
1017,62,벼루말교,11468,011468
1017,63,광운중학교,11333,011333
1017,64,광운대학교,11285,011285
1017,65,월계삼거리,11286,011286
1017,66,신도브래뉴.한전노원변전소,11346,011346
1017,67,인덕삼거리,11345,011345
102,1,7단지영업소(가상),11856,011856
102,2,상계초등학교,11208,011208
102,3,노원역9번출구,11210,011210
102,4,상계주공3단지,11244,011244
102,5,상계주공2단지,11245,011245
102,6,상계주공1단지,11246,011246
102,7,어린이교통공원,11372,011372
102,8,마들근린공원.노원에코센터,11248,011248
102,9,창동주공17단지,10279,010279
102,10,창동주공4단지,10242,010242
102,11,도봉문화정보센터,10245,010245
102,12,창림초교창동신창아파트앞,10247,010247
102,13,외한은행창동지점,10249,010249
102,14,신창.창동시장,10331,010331
102,15,창동서울탁주앞,10251,010251
102,16,번동사거리,9152,09152
102,17,북부시장입구,9150,09150
102,18,강북경찰서입구,9148,09148
102,19,수유사거리,9267,09267
102,20,수유시장.성신여대미아캠퍼스앞,9005,09005
102,21,미아역.신일중고,9007,09007
102,22,도봉세무서.성북시장,9009,09009
102,23,미아삼거리역,9011,09011
102,24,월곡뉴타운,8001,08001
102,25,길음뉴타운,8003,08003
102,26,미아리고개(아리랑아트홀),8005,08005
102,27,돈암사거리.성신여대입구,8007,08007
102,28,삼선교.한성대학교,8009,08009
102,29,혜화동로터리,1005,01005
102,30,명륜3가성대입구,1003,01003
102,31,창경궁서울대학교병원,1002,01002
102,32,현대그룹빌딩,1218,01218
102,33,이화동(이화장),1225,01225
102,34,충신동,1215,01215
102,35,동대문,1214,01214
102,36,종로6가,1207,01207
102,37,종로5가.효제초등학교,1205,01205
102,38,종로5가.효제동,1204,01204
102,39,통신대(이화장),1219,01219
102,40,혜화역.마로니에공원,1220,01220
102,41,혜화역.동성중고(장면총리가옥),1229,01229
102,42,삼선교.한성대학교,8010,08010
102,43,돈암사거리.성신여대입구,8008,08008
102,44,미아리고개(아리랑아트홀),8006,08006
102,45,길음뉴타운,8004,08004
102,46,월곡뉴타운,8002,08002
102,47,미아삼거리역,9012,09012
102,48,도봉세무서.성북시장,9010,09010
102,49,미아역.신일중고,9008,09008
102,50,수유시장.성신여대미아캠퍼스앞,9006,09006
102,51,수유사거리,9266,09266
102,52,강북경찰서입구,9149,09149
102,53,북부시장입구,9151,09151
102,54,번동사거리,9153,09153
102,55,창동서울탁주앞,10250,010250
102,56,창동.신창시장,10330,010330
102,57,외환은행창동지점,10248,010248
102,58,창림초교창동신창아파트앞,10246,010246
102,59,도봉문화정보센터,10244,010244
102,60,창동주공4단지,10241,010241
102,61,창동주공17단지,10278,010278
102,62,마들근린공원.노원에코센터,11247,011247
102,63,중계역1번출구,11390,011390
102,64,백병원,11257,011257
102,65,상계주공4단지,11256,011256
102,66,상계주공6단지,11255,011255
102,67,노원역1번출구,11211,011211
102,68,상계초등학교,11209,011209
102,69,7단지영업소(가상),11854,011854
1020,1,정릉북한산국립공원입구,8160,08160
1020,2,정릉산장아파트,8161,08161
1020,3,정릉4동주민센터.경국사,8163,08163
1020,4,삼덕단지앞,8322,08322
1020,5,정릉3동주민센터앞,8320,08320
1020,6,고려대보건과학대학,8114,08114
1020,7,청덕초교,8112,08112
1020,8,국민대학교앞,8110,08110
1020,9,롯데아파트,1159,01159
1020,10,일성아파트,1158,01158
1020,11,평창동주민센터,1157,01157
1020,12,외환은행평창동지점,1156,01156
1020,13,갑을씨티텔앞,1155,01155
1020,14,세검정초등학교,1133,01133
1020,15,상명대입구,1287,01287
1020,16,하림각,1136,01136
1020,17,자하문터널입구,1137,01137
1020,18,부암동주민센터,1138,01138
1020,19,자하문고개.윤동주문학관,1106,01106
1020,20,청운중학교,1105,01105
1020,21,경복고교,1104,01104
1020,22,신교동,1102,01102
1020,23,통인시장종로구보건소,1110,01110
1020,24,경복궁역,1115,01115
1020,25,경복궁,1117,01117
1020,26,안국동,1203,01203
1020,27,조계사,1202,01202
1020,28,종로1가,1191,01191
1020,29,KT광화문지사,1118,01118
1020,30,경복궁역,1116,01116
1020,31,통인시장종로구보건소,1111,01111
1020,32,효자동,1112,01112
1020,33,경복고교,1109,01109
1020,34,청운중학교,1108,01108
1020,35,자하문고개.윤동주문학관,1107,01107
1020,36,부암동주민센터,1139,01139
1020,37,자하문터널입구,1140,01140
1020,38,하림각,1141,01141
1020,39,상명대입구,1142,01142
1020,40,세검정.상명대,1143,01143
1020,41,세검정초등학교,1144,01144
1020,42,화정박물관,1164,01164
1020,43,서울예술고등학교.평창동주민센터,1163,01163
1020,44,예능교회,1162,01162
1020,45,벽산평창힐스아파트,1161,01161
1020,46,롯데아파트,1160,01160
1020,47,평창동삼성아파트,1293,01293
1020,48,국민대앞,8107,08107
1020,49,청덕초등학교,8111,08111
1020,50,정릉3동주민센터앞,8321,08321
1020,51,삼덕단지앞,8323,08323
1020,52,정릉4동주민센터.경국사,8164,08164
1020,53,정릉대우아파트,8162,08162
1020,54,정릉북한산국립공원입구,8347,08347
103,1,삼화상운차고지,11482,011482
103,2,월계주공1단지아파트앞,11506,011506
103,3,삼화상운,11493,011493
103,4,월계2교.참누리아파트,8185,08185
103,5,광운초교앞,8218,08218
103,6,국민은행장위1동지점,8220,08220
103,7,장위1동새마을금고,8222,08222
103,8,장곡초교,8293,08293
103,9,국민은행장위동지점,8282,08282
103,10,장위1동파출소,8280,08280
103,11,장위1동주민센터,8278,08278
103,12,장위동고개,8276,08276
103,13,창문여고앞,9189,09189
103,14,숭곡초등학교입구,9190,09190
103,15,월곡뉴타운,8001,08001
103,16,길음뉴타운,8003,08003
103,17,미아리고개(아리랑아트홀),8005,08005
103,18,돈암사거리.성신여대입구,8007,08007
103,19,삼선동주민센터,8175,08175
103,20,성북구청.성북경찰서,8177,08177
103,21,보문역,8179,08179
103,22,브라운호텔,8181,08181
103,23,보문동주민센터,8183,08183
103,24,신설동로타리,1243,01243
103,25,동묘앞,1044,01044
103,26,동대문(흥인지문),1037,01037
103,27,종로6가,1207,01207
103,28,종로5가,1206,01206
103,29,종로4가,1196,01196
103,30,종로3가,1194,01194
103,31,종로2가,1192,01192
103,32,종로1가,1191,01191
103,33,세종문화회관,1126,01126
103,34,시청앞,2132,02132
103,35,서울역버스환승센터,2006,02006
103,36,숭례문,2122,02122
103,37,남대문시장.신한은행,2219,02219
103,38,롯데영프라자,2142,02142
103,39,우리은행종로지점,2139,02139
103,40,종로2가,1186,01186
103,41,종로3가역15번출구,1182,01182
103,42,종로4가.종묘,1180,01180
103,43,종로5가.광장시장,1178,01178
103,44,종로6가.종로신진시장,1216,01216
103,45,동대문,1233,01233
103,46,동묘앞,1041,01041
103,47,보문동주민센터,8184,08184
103,48,브라운호텔,8182,08182
103,49,보문역,8180,08180
103,50,성북구청.성북경찰서,8178,08178
103,51,삼선동주민센터,8176,08176
103,52,돈암사거리.성신여대입구,8008,08008
103,53,미아리고개(아리랑아트홀),8006,08006
103,54,길음뉴타운,8004,08004
103,55,월곡뉴타운,8002,08002
103,56,숭곡초교입구,8101,08101
103,57,창문여고,8102,08102
103,58,장위동고개,8275,08275
103,59,장위1동주민센터,8277,08277
103,60,장위1동파출소,8279,08279
103,61,국민은행장위동지점,8281,08281
103,62,장곡초교,8294,08294
103,63,장위1동새마을금고,8221,08221
103,64,국민은행장위1동지점,8219,08219
103,65,광운초교,8217,08217
103,66,월계2교,8186,08186
103,67,월계주공1단지아파트앞,11506,011506
103,68,삼화상운,11493,011493
103,69,삼화상운차고지(가상),11851,011851
104,1,강북청소년수련관,9194,09194
104,2,무량사입구,9310,09310
104,3,국립419묘지,9196,09196
104,4,국립419묘지입구사거리,9111,09111
104,5,인수동장미원,9120,09120
104,6,가오리수유종합사회복지관,9122,09122
104,7,우이초등학교,9134,09134
104,8,화계사입구,9156,09156
104,9,빨래골입구,9158,09158
104,10,롯데마트삼양점.래미안1차아파트,9160,09160
104,11,삼양초등학교,9162,09162
104,12,강북청소년문화정보센터입구,9164,09164
104,13,삼양동사거리,9166,09166
104,14,송천초등학교.미아뉴타운입구,9168,09168
104,15,미아초교,8171,08171
104,16,길음동동부아파트,8173,08173
104,17,길음뉴타운,8003,08003
104,18,미아리고개(아리랑아트홀),8005,08005
104,19,돈암사거리.성신여대입구,8007,08007
104,20,삼선교.한성대학교,8009,08009
104,21,혜화동로터리,1005,01005
104,22,명륜3가성대입구,1003,01003
104,23,창경궁서울대학교병원,1002,01002
104,24,원남동,1198,01198
104,25,광장시장,1247,01247
104,26,중구청앞.덕수중학교,2164,02164
104,27,대한극장앞,2154,02154
104,28,퇴계로3가.한옥마을.한국의집,2151,02151
104,29,퇴계로2가.명동역,2150,02150
104,30,남대문시장.회현역,2145,02145
104,31,숭례문,2122,02122
104,32,남대문시장,2126,02126
104,33,명동입구,2149,02149
104,34,퇴계로3가.한옥마을.한국의집,2152,02152
104,35,대한극장앞,2153,02153
104,36,퇴계로5가,2207,02207
104,37,을지로5가,2168,02168
104,38,방산시장,2167,02167
104,39,종로5가,1212,01212
104,40,종로5가.효제초등학교,1205,01205
104,41,종로5가.효제동,1204,01204
104,42,통신대(이화장),1219,01219
104,43,혜화역.마로니에공원,1220,01220
104,44,혜화역.동성중고(장면총리가옥),1229,01229
104,45,삼선교.한성대학교,8010,08010
104,46,돈암사거리.성신여대입구,8008,08008
104,47,미아리고개(아리랑아트홀),8006,08006
104,48,돈암동삼성아파트입구,8123,08123
104,49,길음동동부아파트,8174,08174
104,50,미아초교,8172,08172
104,51,송천초등학교.미아뉴타운입구,9169,09169
104,52,삼양동사거리,9167,09167
104,53,강북청소년문화정보센터입구,9165,09165
104,54,삼양초등학교,9163,09163
104,55,롯데마트삼양점.래미안1차아파트,9161,09161
104,56,빨래골입구,9159,09159
104,57,화계사입구,9157,09157
104,58,우이초등학교,9135,09135
104,59,가오리수유종합사회복지관,9123,09123
104,60,인수동장미원,9121,09121
104,61,국립419묘지입구,9110,09110
104,62,국립419묘지,9197,09197
104,63,무량사입구,9311,09311
104,64,강북청소년수련관,9195,09195
105,1,7단지영업소,11502,011502
105,2,상계10동우체국,11189,011189
105,3,대림아파트상가,11184,011184
105,4,도봉면허시험장,11186,011186
105,5,상계주공3단지,11244,011244
105,6,상계주공2단지,11245,011245
105,7,상계주공1단지,11246,011246
105,8,중계역,11366,011366
105,9,노원구민회관,11367,011367
105,10,하계역,11447,011447
105,11,하계장미아파트,11448,011448
105,12,서울과학기술대입구,11160,011160
105,13,공릉역4번출구,11162,011162
105,14,공릉시장,11102,011102
105,15,태릉입구역3번출구,11104,011104
105,16,극동늘푸른아파트,7101,07101
105,17,묵동삼거리.먹골역,7103,07103
105,18,먹골역,7425,07425
105,19,중랑경찰서,7105,07105
105,20,지하철7호선중화역,7107,07107
105,21,국민은행중화동지점,7109,07109
105,22,중랑역.동부시장,7005,07005
105,23,중랑교,6009,06009
105,24,삼육서울병원,6011,06011
105,25,시조사삼거리,6013,06013
105,26,떡전교사거리.동대문노인복지관,6014,06014
105,27,청량리미주아파트.동대문세무서,6021,06021
105,28,청량리역환승센타,6015,06015
105,29,청량리.청과물도매시장,6022,06022
105,30,제기동역.서울약령시,6024,06024
105,31,용두동사거리.한국의류시험연구원,6026,06026
105,32,신설동역,6028,06028
105,33,동묘앞,1044,01044
105,34,동대문(흥인지문),1037,01037
105,35,종로중부새마을금고,1288,01288
105,36,동대문역사문화공원,2173,02173
105,37,광희동,2170,02170
105,38,퇴계로6가,2206,02206
105,39,퇴계로5가,2208,02208
105,40,대한극장앞,2154,02154
105,41,퇴계로3가.한옥마을.한국의집,2151,02151
105,42,퇴계로2가.명동역,2150,02150
105,43,남대문시장.회현역,2145,02145
105,44,숭례문,2122,02122
105,45,남대문시장.신한은행,2219,02219
105,46,롯데영프라자,2142,02142
105,47,을지로입구(외환은행본점),2156,02156
105,48,을지로2가,2159,02159
105,49,을지로3가,2161,02161
105,50,을지로4가,2163,02163
105,51,을지로5가.중부시장,2166,02166
105,52,을지로6가.국립중앙의료원,2169,02169
105,53,동대문역사문화공원,2174,02174
105,54,동대문,1233,01233
105,55,동묘앞,1041,01041
105,56,신설동역,6027,06027
105,57,용두동사거리.한국항공전문학교,6025,06025
105,58,제기동역.서울약령시,6023,06023
105,59,청량리.청과물도매시장,6426,06426
105,60,청량리역환승센터,6018,06018
105,61,서울성심병원,6114,06114
105,62,휘경동입구,6117,06117
105,63,삼육서울병원,6012,06012
105,64,중랑교,6010,06010
105,65,중랑역.동부시장,7006,07006
105,66,중화동한신아파트,7110,07110
105,67,지하철7호선중화역,7108,07108
105,68,한국전력동부지점중랑경찰서,7106,07106
105,69,먹골역,7426,07426
105,70,묵동삼거리.먹골역,7104,07104
105,71,묵동자이.신도브레뉴아파트,7102,07102
